Number of words,75205
Number of unique words,2311
Average word frequency,32.542190
Entropy,6.149864

Word,Frequency,Proportion,Entropy Term
yesterday,9,0.000120,0.001081
florida,5,0.000066,0.000639
lime,4,0.000053,0.000523
rocks,3,0.000040,0.000404
january,4,0.000053,0.000523
disney,3,0.000040,0.000404
world,7,0.000093,0.000864
negative,8,0.000106,0.000973
moment,9,0.000120,0.001081
including,4,0.000053,0.000523
models,7,0.000093,0.000864
fitting,36,0.000479,0.003659
body,3,0.000040,0.000404
heavy,24,0.000319,0.002569
shoesbr,13,0.000173,0.001497
described,50,0.000665,0.004864
hardly,4,0.000053,0.000523
clearly,6,0.000080,0.000753
lint,3,0.000040,0.000404
tread,14,0.000186,0.001599
fact,29,0.000386,0.003031
outside,32,0.000426,0.003303
bottoms,8,0.000106,0.000973
neon,12,0.000160,0.001395
father,8,0.000106,0.000973
important,13,0.000173,0.001497
performance,19,0.000253,0.002093
strings,5,0.000066,0.000639
grow,21,0.000279,0.002285
stand,27,0.000359,0.002848
steel,3,0.000040,0.000404
silver,9,0.000120,0.001081
initially,7,0.000093,0.000864
took,51,0.000678,0.004948
effort,5,0.000066,0.000639
rubs,7,0.000093,0.000864
tops,8,0.000106,0.000973
period,13,0.000173,0.001497
ready,4,0.000053,0.000523
firm,9,0.000120,0.001081
sock,17,0.000226,0.001898
tie,15,0.000199,0.001699
quicker,9,0.000120,0.001081
hold,33,0.000439,0.003393
fitness,6,0.000080,0.000753
center,3,0.000040,0.000404
cleats,71,0.000944,0.006576
played,48,0.000638,0.004695
complaining,5,0.000066,0.000639
beat,26,0.000346,0.002755
grate,3,0.000040,0.000404
knew,25,0.000332,0.002662
animal,3,0.000040,0.000404
website,10,0.000133,0.001187
nikecom,3,0.000040,0.000404
warmer,3,0.000040,0.000404
knit,6,0.000080,0.000753
exercising,3,0.000040,0.000404
goo,3,0.000040,0.000404
specifically,6,0.000080,0.000753
